Comunidades,Año,Total
ANDALUCÍA,2021,4.299.068
ANDALUCÍA,2020,4.293.806
ANDALUCÍA,2019,4.267.073
ANDALUCÍA,2018,4.250.510
ANDALUCÍA,2017,4.245.985
ANDALUCÍA,2016,4.248.913
ANDALUCÍA,2015,4.254.511
ANDALUCÍA,2014,4.253.604
ANDALUCÍA,2013,4.269.646
ANDALUCÍA,2012,4.269.700
ANDALUCÍA,2011,4.254.468
ANDALUCÍA,2010,4.226.119
ANDALUCÍA,2009,4.189.540
ANDALUCÍA,2008,4.130.720
ANDALUCÍA,2007,4.060.218
ANDALUCÍA,2006,4.017.107
ANDALUCÍA,2005,3.960.194
ANDALUCÍA,2004,3.887.310
ANDALUCÍA,2003,3.849.478
ARAGÓN,2021,671.013
ARAGÓN,2020,673.335
ARAGÓN,2019,668.597
ARAGÓN,2018,663.230
ARAGÓN,2017,662.855
ARAGÓN,2016,661.357
ARAGÓN,2015,665.160
ARAGÓN,2014,668.421
ARAGÓN,2013,677.163
ARAGÓN,2012,677.569
ARAGÓN,2011,675.007
ARAGÓN,2010,673.918
ARAGÓN,2009,671.654
ARAGÓN,2008,662.515
ARAGÓN,2007,649.659
ARAGÓN,2006,640.812
ARAGÓN,2005,636.879
ARAGÓN,2004,628.710
ARAGÓN,2003,619.880
"ASTURIAS, PRINCIPADO DE",2021,529.127
"ASTURIAS, PRINCIPADO DE",2020,532.718
"ASTURIAS, PRINCIPADO DE",2019,534.663
"ASTURIAS, PRINCIPADO DE",2018,537.506
"ASTURIAS, PRINCIPADO DE",2017,541.049
"ASTURIAS, PRINCIPADO DE",2016,544.756
"ASTURIAS, PRINCIPADO DE",2015,549.054
"ASTURIAS, PRINCIPADO DE",2014,553.829
"ASTURIAS, PRINCIPADO DE",2013,556.819
"ASTURIAS, PRINCIPADO DE",2012,560.940
"ASTURIAS, PRINCIPADO DE",2011,562.916
"ASTURIAS, PRINCIPADO DE",2010,563.939
"ASTURIAS, PRINCIPADO DE",2009,564.373
"ASTURIAS, PRINCIPADO DE",2008,561.847
"ASTURIAS, PRINCIPADO DE",2007,559.570
"ASTURIAS, PRINCIPADO DE",2006,560.549
"ASTURIAS, PRINCIPADO DE",2005,560.306
"ASTURIAS, PRINCIPADO DE",2004,558.714
"ASTURIAS, PRINCIPADO DE",2003,559.436
"BALEARS, ILLES",2021,588.155
"BALEARS, ILLES",2020,587.245
"BALEARS, ILLES",2019,576.703
"BALEARS, ILLES",2018,567.105
"BALEARS, ILLES",2017,561.074
"BALEARS, ILLES",2016,556.538
"BALEARS, ILLES",2015,554.801
"BALEARS, ILLES",2014,553.641
"BALEARS, ILLES",2013,557.071
"BALEARS, ILLES",2012,559.348
"BALEARS, ILLES",2011,555.537
"BALEARS, ILLES",2010,550.845
"BALEARS, ILLES",2009,544.347
"BALEARS, ILLES",2008,532.449
"BALEARS, ILLES",2007,513.057
"BALEARS, ILLES",2006,499.163
"BALEARS, ILLES",2005,490.489
"BALEARS, ILLES",2004,476.999
"BALEARS, ILLES",2003,473.113
CANARIAS,2021,1.098.764
CANARIAS,2020,1.099.767
CANARIAS,2019,1.087.418
CANARIAS,2018,1.073.653
CANARIAS,2017,1.063.008
CANARIAS,2016,1.059.086
CANARIAS,2015,1.057.103
CANARIAS,2014,1.058.442
CANARIAS,2013,1.063.377
CANARIAS,2012,1.062.104
CANARIAS,2011,1.065.178
CANARIAS,2010,1.059.813
CANARIAS,2009,1.051.356
CANARIAS,2008,1.035.831
CANARIAS,2007,1.010.458
CANARIAS,2006,994.439
CANARIAS,2005,980.050
CANARIAS,2004,954.882
CANARIAS,2003,944.709
CANTABRIA,2021,301.129
CANTABRIA,2020,300.346
CANTABRIA,2019,299.277
CANTABRIA,2018,298.665
CANTABRIA,2017,298.487
CANTABRIA,2016,299.218
CANTABRIA,2015,300.391
CANTABRIA,2014,301.874
CANTABRIA,2013,303.245
CANTABRIA,2012,303.862
CANTABRIA,2011,303.249
CANTABRIA,2010,302.319
CANTABRIA,2009,300.500
CANTABRIA,2008,296.669
CANTABRIA,2007,292.541
CANTABRIA,2006,290.222
CANTABRIA,2005,287.512
CANTABRIA,2004,283.877
CANTABRIA,2003,281.381
CASTILLA Y LEÓN,2021,1.210.025
CASTILLA Y LEÓN,2020,1.216.072
CASTILLA Y LEÓN,2019,1.218.147
CASTILLA Y LEÓN,2018,1.222.801
CASTILLA Y LEÓN,2017,1.230.550
CASTILLA Y LEÓN,2016,1.240.744
CASTILLA Y LEÓN,2015,1.252.436
CASTILLA Y LEÓN,2014,1.262.540
CASTILLA Y LEÓN,2013,1.273.498
CASTILLA Y LEÓN,2012,1.284.937
CASTILLA Y LEÓN,2011,1.290.792
CASTILLA Y LEÓN,2010,1.290.655
CASTILLA Y LEÓN,2009,1.291.501
CASTILLA Y LEÓN,2008,1.287.992
CASTILLA Y LEÓN,2007,1.277.335
CASTILLA Y LEÓN,2006,1.275.862
CASTILLA Y LEÓN,2005,1.270.399
CASTILLA Y LEÓN,2004,1.262.660
CASTILLA Y LEÓN,2003,1.259.469
CASTILLA - LA MANCHA,2021,1.023.434
CASTILLA - LA MANCHA,2020,1.021.481
CASTILLA - LA MANCHA,2019,1.015.909
CASTILLA - LA MANCHA,2018,1.012.608
CASTILLA - LA MANCHA,2017,1.014.718
CASTILLA - LA MANCHA,2016,1.018.909
CASTILLA - LA MANCHA,2015,1.026.518
CASTILLA - LA MANCHA,2014,1.034.731
CASTILLA - LA MANCHA,2013,1.044.038
CASTILLA - LA MANCHA,2012,1.052.240
CASTILLA - LA MANCHA,2011,1.048.736
CASTILLA - LA MANCHA,2010,1.039.224
CASTILLA - LA MANCHA,2009,1.029.645
CASTILLA - LA MANCHA,2008,1.009.969
CASTILLA - LA MANCHA,2007,981.636
CASTILLA - LA MANCHA,2006,961.394
CASTILLA - LA MANCHA,2005,943.691
CASTILLA - LA MANCHA,2004,923.187
CASTILLA - LA MANCHA,2003,908.125
CATALUÑA,2021,3.943.531
CATALUÑA,2020,3.953.515
CATALUÑA,2019,3.905.094
CATALUÑA,2018,3.869.739
CATALUÑA,2017,3.845.630
CATALUÑA,2016,3.825.228
CATALUÑA,2015,3.816.361
CATALUÑA,2014,3.817.163
CATALUÑA,2013,3.828.332
CATALUÑA,2012,3.829.280
CATALUÑA,2011,3.807.422
CATALUÑA,2010,3.787.866
CATALUÑA,2009,3.761.655
CATALUÑA,2008,3.703.050
CATALUÑA,2007,3.632.332
CATALUÑA,2006,3.590.991
CATALUÑA,2005,3.526.971
CATALUÑA,2004,3.446.990
CATALUÑA,2003,3.394.296
COMUNITAT VALENCIANA,2021,2.566.744
COMUNITAT VALENCIANA,2020,2.565.232
COMUNITAT VALENCIANA,2019,2.538.427
COMUNITAT VALENCIANA,2018,2.517.320
COMUNITAT VALENCIANA,2017,2.505.306
COMUNITAT VALENCIANA,2016,2.511.220
COMUNITAT VALENCIANA,2015,2.519.884
COMUNITAT VALENCIANA,2014,2.529.763
COMUNITAT VALENCIANA,2013,2.579.276
COMUNITAT VALENCIANA,2012,2.582.862
COMUNITAT VALENCIANA,2011,2.575.410
COMUNITAT VALENCIANA,2010,2.568.757
COMUNITAT VALENCIANA,2009,2.556.777
COMUNITAT VALENCIANA,2008,2.521.168
COMUNITAT VALENCIANA,2007,2.452.867
COMUNITAT VALENCIANA,2006,2.412.601
COMUNITAT VALENCIANA,2005,2.360.166
COMUNITAT VALENCIANA,2004,2.291.492
COMUNITAT VALENCIANA,2003,2.257.875
EXTREMADURA,2021,535.525
EXTREMADURA,2020,537.699
EXTREMADURA,2019,539.210
EXTREMADURA,2018,541.608
EXTREMADURA,2017,544.860
EXTREMADURA,2016,548.539
EXTREMADURA,2015,550.919
EXTREMADURA,2014,554.016
EXTREMADURA,2013,555.950
EXTREMADURA,2012,557.806
EXTREMADURA,2011,558.503
EXTREMADURA,2010,557.499
EXTREMADURA,2009,554.860
EXTREMADURA,2008,551.552
EXTREMADURA,2007,548.298
EXTREMADURA,2006,546.021
EXTREMADURA,2005,544.654
EXTREMADURA,2004,540.582
EXTREMADURA,2003,540.013
GALICIA,2021,1.398.344
GALICIA,2020,1.401.666
GALICIA,2019,1.400.535
GALICIA,2018,1.401.134
GALICIA,2017,1.403.947
GALICIA,2016,1.408.716
GALICIA,2015,1.415.293
GALICIA,2014,1.423.038
GALICIA,2013,1.430.818
GALICIA,2012,1.438.170
GALICIA,2011,1.445.831
GALICIA,2010,1.447.106
GALICIA,2009,1.446.486
GALICIA,2008,1.439.901
GALICIA,2007,1.435.374
GALICIA,2006,1.433.727
GALICIA,2005,1.431.495
GALICIA,2004,1.425.998
GALICIA,2003,1.426.709
"MADRID, COMUNIDAD DE",2021,3.521.551
"MADRID, COMUNIDAD DE",2020,3.536.095
"MADRID, COMUNIDAD DE",2019,3.476.082
"MADRID, COMUNIDAD DE",2018,3.430.207
"MADRID, COMUNIDAD DE",2017,3.391.662
"MADRID, COMUNIDAD DE",2016,3.368.365
"MADRID, COMUNIDAD DE",2015,3.349.974
"MADRID, COMUNIDAD DE",2014,3.354.799
"MADRID, COMUNIDAD DE",2013,3.371.827
"MADRID, COMUNIDAD DE",2012,3.368.319
"MADRID, COMUNIDAD DE",2011,3.356.836
"MADRID, COMUNIDAD DE",2010,3.334.246
"MADRID, COMUNIDAD DE",2009,3.292.058
"MADRID, COMUNIDAD DE",2008,3.230.980
"MADRID, COMUNIDAD DE",2007,3.137.911
"MADRID, COMUNIDAD DE",2006,3.099.529
"MADRID, COMUNIDAD DE",2005,3.076.425
"MADRID, COMUNIDAD DE",2004,2.999.867
"MADRID, COMUNIDAD DE",2003,2.958.065
"MURCIA, REGIÓN DE",2021,758.124
"MURCIA, REGIÓN DE",2020,754.552
"MURCIA, REGIÓN DE",2019,746.283
"MURCIA, REGIÓN DE",2018,738.366
"MURCIA, REGIÓN DE",2017,734.035
"MURCIA, REGIÓN DE",2016,731.292
"MURCIA, REGIÓN DE",2015,731.854
"MURCIA, REGIÓN DE",2014,730.929
"MURCIA, REGIÓN DE",2013,732.207
"MURCIA, REGIÓN DE",2012,731.722
"MURCIA, REGIÓN DE",2011,728.488
"MURCIA, REGIÓN DE",2010,723.352
"MURCIA, REGIÓN DE",2009,714.911
"MURCIA, REGIÓN DE",2008,703.110
"MURCIA, REGIÓN DE",2007,685.791
"MURCIA, REGIÓN DE",2006,673.279
"MURCIA, REGIÓN DE",2005,658.743
"MURCIA, REGIÓN DE",2004,642.637
"MURCIA, REGIÓN DE",2003,629.435
"NAVARRA, COMUNIDAD FORAL DE",2021,334.072
"NAVARRA, COMUNIDAD FORAL DE",2020,333.971
"NAVARRA, COMUNIDAD FORAL DE",2019,330.583
"NAVARRA, COMUNIDAD FORAL DE",2018,327.085
"NAVARRA, COMUNIDAD FORAL DE",2017,324.563
"NAVARRA, COMUNIDAD FORAL DE",2016,322.807
"NAVARRA, COMUNIDAD FORAL DE",2015,322.591
"NAVARRA, COMUNIDAD FORAL DE",2014,322.304
"NAVARRA, COMUNIDAD FORAL DE",2013,323.544
"NAVARRA, COMUNIDAD FORAL DE",2012,323.113
"NAVARRA, COMUNIDAD FORAL DE",2011,321.395
"NAVARRA, COMUNIDAD FORAL DE",2010,318.501
"NAVARRA, COMUNIDAD FORAL DE",2009,315.092
"NAVARRA, COMUNIDAD FORAL DE",2008,310.095
"NAVARRA, COMUNIDAD FORAL DE",2007,303.546
"NAVARRA, COMUNIDAD FORAL DE",2006,300.957
"NAVARRA, COMUNIDAD FORAL DE",2005,296.885
"NAVARRA, COMUNIDAD FORAL DE",2004,292.675
"NAVARRA, COMUNIDAD FORAL DE",2003,289.219
PAÍS VASCO,2021,1.137.608
PAÍS VASCO,2020,1.141.052
PAÍS VASCO,2019,1.134.702
PAÍS VASCO,2018,1.130.338
PAÍS VASCO,2017,1.127.253
PAÍS VASCO,2016,1.123.954
PAÍS VASCO,2015,1.123.332
PAÍS VASCO,2014,1.122.616
PAÍS VASCO,2013,1.122.936
PAÍS VASCO,2012,1.122.655
PAÍS VASCO,2011,1.117.734
PAÍS VASCO,2010,1.113.631
PAÍS VASCO,2009,1.109.763
PAÍS VASCO,2008,1.101.962
PAÍS VASCO,2007,1.095.065
PAÍS VASCO,2006,1.089.835
PAÍS VASCO,2005,1.084.321
PAÍS VASCO,2004,1.079.416
PAÍS VASCO,2003,1.077.878
"RIOJA, LA",2021,161.973
"RIOJA, LA",2020,162.079
"RIOJA, LA",2019,160.619
"RIOJA, LA",2018,159.917
"RIOJA, LA",2017,159.873
"RIOJA, LA",2016,159.825
"RIOJA, LA",2015,160.320
"RIOJA, LA",2014,160.912
"RIOJA, LA",2013,161.868
"RIOJA, LA",2012,162.035
"RIOJA, LA",2011,161.373
"RIOJA, LA",2010,160.531
"RIOJA, LA",2009,159.529
"RIOJA, LA",2008,157.159
"RIOJA, LA",2007,153.195
"RIOJA, LA",2006,151.821
"RIOJA, LA",2005,149.354
"RIOJA, LA",2004,146.339
"RIOJA, LA",2003,143.395
CEUTA,2021,41.309
CEUTA,2020,41.660
CEUTA,2019,41.865
CEUTA,2018,41.967
CEUTA,2017,41.925
CEUTA,2016,41.673
CEUTA,2015,41.506
CEUTA,2014,41.609
CEUTA,2013,41.120
CEUTA,2012,41.070
CEUTA,2011,40.211
CEUTA,2010,39.310
CEUTA,2009,38.556
CEUTA,2008,38.004
CEUTA,2007,37.690
CEUTA,2006,37.280
CEUTA,2005,36.961
CEUTA,2004,36.541
CEUTA,2003,36.536
MELILLA,2021,42.658
MELILLA,2020,42.914
MELILLA,2019,42.593
MELILLA,2018,42.619
MELILLA,2017,42.491
MELILLA,2016,42.258
MELILLA,2015,41.991
MELILLA,2014,41.434
MELILLA,2013,40.662
MELILLA,2012,39.233
MELILLA,2011,38.220
MELILLA,2010,37.215
MELILLA,2009,36.216
MELILLA,2008,35.112
MELILLA,2007,34.232
MELILLA,2006,32.909
MELILLA,2005,32.166
MELILLA,2004,33.561
MELILLA,2003,33.726